NameBasin,NameRiver,DrainID,AreaBasin,Slope (%),Longest (m),GroupRiver,GroupBasin,CN,Alpha_Ia,K,X,Step
W760,R20,760,2.301445,31.40081,3084.245694,1,1,70.7,0.234557659,0.477572395,0.289607822,1
W770,R10,770,1.034236,25.455254,2268.261893,1,1,70.06,0.234557659,0.477572395,0.289607822,1
W780,R50,780,2.427385,28.859106,3561.991259,1,1,70.51,0.234557659,0.477572395,0.289607822,4
W790,R110,790,4.922114,24.687695,5213.413524,1,1,73.36,0.234557659,0.477572395,0.289607822,1
W800,R30,800,1.283615,26.434376,3100.743753,1,1,70.69,0.234557659,0.477572395,0.289607822,1
W810,R40,810,1.62159,28.467031,3456.888819,1,1,72.39,0.234557659,0.477572395,0.289607822,1
W820,R60,820,1.552682,25.395685,3331.291245,1,1,75.15,0.234557659,0.477572395,0.289607822,4
W830,R70,830,1.541276,22.562555,2939.130761,1,1,70.5,0.234557659,0.477572395,0.289607822,1
W840,R120,840,2.762078,27.819468,3942.616239,1,1,72.63,0.234557659,0.477572395,0.289607822,1
W850,R100,850,0.441101,14.433197,1794.881943,1,1,77.28,0.234557659,0.477572395,0.289607822,4
W860,R80,860,1.022048,23.921284,1965.22606,1,1,70,0.234557659,0.477572395,0.289607822,1
W870,R90,870,0.007031,27.722113,191.606922,1,1,70,0.234557659,0.477572395,0.289607822,4
W880,R140,880,1.454556,22.087658,2517.375838,1,1,70.84,0.234557659,0.477572395,0.289607822,4
W890,R160,890,3.172241,17.23753,4266.959297,2,1,70.15,0.234557659,0.322898474,0.246173624,1
W900,R150,900,3.378182,26.683723,4710.820648,1,1,73.12,0.234557659,0.477572395,0.289607822,4
W910,R130,910,0.52204,26.56744,1485.336276,1,1,70.54,0.234557659,0.477572395,0.289607822,4
W920,R170,920,2.630669,20.292913,3161.543502,2,1,70.07,0.234557659,0.322898474,0.246173624,1
W930,R260,930,4.32476,30.227139,4159.039368,1,1,72.14,0.234557659,0.477572395,0.289607822,4
W940,R180,940,2.429728,24.135391,2920.564254,1,1,70.38,0.234557659,0.477572395,0.289607822,1
W950,R200,950,2.000034,23.428925,3168.345376,2,1,71.23,0.234557659,0.322898474,0.246173624,1
W960,R230,960,2.377228,22.493786,3637.435974,2,1,71.07,0.234557659,0.322898474,0.246173624,1
W970,R190,970,2.013003,19.097265,3492.091852,2,1,74.47,0.234557659,0.322898474,0.246173624,2
W980,R210,980,1.642059,16.760727,2280.762146,3,2,79.64,0.023834183,0.24747234,0.209227398,1
W990,R220,990,0.782513,22.584251,1960.937045,2,1,74.13,0.234557659,0.322898474,0.246173624,2
W1000,R280,1000,2.271757,13.746632,3701.192439,3,2,77.24,0.023834183,0.24747234,0.209227398,1
W1010,R270,1010,1.21252,23.07202,2287.716155,3,2,81.55,0.023834183,0.24747234,0.209227398,2
W1020,R250,1020,1.160801,19.998873,2804.141984,1,1,73.11,0.234557659,0.477572395,0.289607822,1
W1030,R240,1030,2.567856,18.307419,3117.977066,3,2,83.08,0.023834183,0.24747234,0.209227398,1
W1040,R310,1040,0.758919,15.633809,2560.865786,1,1,75.57,0.234557659,0.477572395,0.289607822,4
W1050,R330,1050,1.75128,15.19314,3509.401807,2,1,72.59,0.234557659,0.322898474,0.246173624,2
